rating,review
bad,Horrible management with no knowledge of the project at hand. They do not take responsibility for their actions nor have  the ability to treat their team with respect and proper training.
bad,"The Hiring manager shortlist your resume and sends you email to get more details. Upon seeing salary expectation they reply this is their budget and then you need to call and beg for an update. An email will come asking if you are comfortable at particular outlet and when you reply yes, they will say you didnt get a job because you didnt pass a phone interview - that never happened. "
bad,The company's leadership doesn't appear to have a clear vision of how to effectively transform the company in order to succeed in the future. The pay is significantly below market and the work-life balance is the worst I've experienced.
bad,"The company is struggling to grow due to increased competition from tech and low cost providers. With the switch to digital the core Western Union service going away at the current price point, this eroding it’s margins. WU is laying off a significant amount of its staff (10% to 20%) and moving various operations to low cost areas. This shift is crippling the business and productivity, thus creating a terrible environment."
bad,"Not engaged, unprofessional, and unethical. One of the worse places I have ever worked, have never been treated as bad as I was treated at this place.  Wouldn't recommend anyone to work here."
bad,Constant layoffs and those who remain have to pick up the work.  I don't recommend the company.  Jobs are being shipped to India and to Lithuania.  Looks elsewhere.
bad,"Very poor work environment. "
bad,Would not go back.  Glad I left.  Would not recommend for anything.  Horrible culture and dishonest management.  Avoid at all costs.  Lots of talk about great culture and employees with no actual execution of anything other than lining management's pockets.
bad,"Security didn't feel as safe as I would as if I was in a federal building. With the amounts of cash that travels in and out daily. I would of thought the building would more secure, Considering the location of the business."
bad,"Empresa que você não tinha suporte de marketing, cobravam metas abusivas."
bad,"poor direction.   not happy with management and overall outlook.   extremely high turnover in the sales dept.  no opportunity for growth.  lots of favoritism shown.   "
bad,"Exelente empresa. Pero el pago. Es muy bajo un cajero de un super gana entre 25 y 27 mil pesos y cajero bancario gana mucho mas."
bad,"I do not work for Western Union, I work for a company that provides their services. Western Union is a difficult company to deal with. I do not have much to say about this company."
bad,This company did not take care employees the underpay and no room for advancement the manager was rude  and my DM was the best thing for the company and then they fired her
bad,was very thankful and very fortunate for an opportunity to do a job i learned to love appreciate and take pride in doing smiling greeting and assisting others is what i took pride in and miss the most there
bad,"Stressful atmosphere, didnt like it one bit"
bad,"I started at coral beach since 2006 but I am proud being on this team and will always remember all the knowledge and experience i had with this prestigious company.They let me develop my skills and personality as well as my talent that helps me to be a better person "
bad,"I cant say much because I still cant understand the ludicrousness from start to end. it was a sloppy hiring initiation, and i had a bad feeling and sure enough you should listen to your gut. Starting from pre-interview to now it has been a decision I wish i could erase from my mind. But you live and you take the negatives to make future positives."
bad,"Management was a joke, very condescending and amateurish."
bad,"reaching out to the general public"
bad,"Although it is a great name in the money transfer world, but here in Syria, it doesn’t live up to its name around the world. It should really pay more attention to its employees."
bad,"Locals who work in the company treat foreigners so badly, and the management doesn't care! "
bad,Company lost in its own bureaucracy. Unattainable quotas which are not communicated until late into the quarter. No explanation on how quotas are set. Supervisors are micro managed who in turn micro manage employees. No flexibility or receptiveness to new ideas or procedures. Toxic work environment from the leadership down to bottom. Was once a positive upbeat company
bad,I worked for Western Union for 8 years and the leadership has no clue of what drives the company. They set goals that are not obtainable to set even higher goals. The Leadership brings in managers from other countries to run the US. These managers are office managers and has no clue what it takes to keeps agents going. The new goal is cut customer service and grow.
bad,Accounting department was poorly managed and understaffed.  Work hours on some days would be 15+ hours due to under staffing issues and too much work to be done in a short time.
bad,Management are total micro managers obsessing about KPI's and day to say targets. When targets are being missed the only remedy is to make more low quality badly researched calls. There is no culture for education  or progression and no real intent to uptier the offering
bad,"Pésima empresa, desordenada, la gerencia es desatenta no te da base para mejora."
bad,This company is no longer operating as a call center in the United States. Since they closed the call center in 2008 unable to give a review or rate this company fairly.
bad,"Management were overall out to further themselves and when things went wrong (which can happen), there was a tendency to blame people before trying to resolve problems. "
bad,"If you are seeing an increase in openings it is because 50%  of the US division has left or is in the process of leaving.   Western Union has hit rock bottom with unstable leadership, antiquated systems and a product that is no longer competitive.   The word toxic is used on a daily basis."
bad,"Learned Vision and SQL"
bad,"This company offers the chance to learn and understand business from a global perspective. The best part is your brain does not get bored and there is always opportunity to learn. That said, senior management is terrible at best. The company's mantra is layoffs, layoffs, layoffs in order to meet bottom lines.There is not a lot of accountability shown at the top and subordinates are held to higher standards than leaders hold themselves to. It's too bad because this could be an amazing company."
bad,We came in not knowing it was a ill equipped call center with no direction and zero professionalism from team leads. Favoritism and a lack of knowledge was 2 of the most displayed activities on the floor if you were bilingual.
bad,Leider wird man nicht wertgeschätzt. habe keine guten Erfahrungen
bad,Great salary but no concept of work/life balance. Management was terrible. They were all transported from New York City to Denver and not suited to the Denver culture.
bad,No career growth or career development. Senior management team has a clear vision but it doesn’t trickle down to the other managers. Very limited opportunities to growth within the organization unless you are located in Denver.
bad,I don't see any growth in the company. It feels like they are planning to ship the job to anther country and the turnover these past weeks is becoming quite alarming
