rating,review
good,Whole foods market is a great place to work. Always upbeat and employees get along well with customers. It has a great comrade. Management is great and so are the workers. The products are awesome. I learned that a good company both in and out makes good employees and great service.
good,Maintaining the sales floor clean and fully stocked. Management does a great job in maintaining employee happiness. I learned that Time Management and Team Work is key. Knowing what needs to be done and having people to help you complete those tasks are crucial to the success of any company. The hardest part of work is doing inventory checks every month. The most enjoyable part of the job being able to work with wine. Wine is my passion.
good,"Whole Foods gives chances to many new employees in the way they recruit. I was one of those fortunate students lucky enough to be accepted by a large billion dollar company such as Whole Foods and gained much experience working there. The company has many meetings weekly to discuss certain safety and consumer tips. The Whole Foods Workplace also has an extremely friendly environment through the way their employees treat you the minute you walk in and when you leave. There were always smiles and small discussions and this promoted a very friendly, healthy, and supportive environment. Although my job there was terminated and not long lasting it was a pleasure to be given the opportunity and to have had the opportunity of working alongside such friendly people. It is not the kind of workplace where you would feel lesser than but instead always supported."
good,"enjoyed the customers, management with excellent skills, learned new skills, good product, nice environment.. thankful, family oriented"
good,"Maintaining a clean environment "
good,The most enjoyable part of the job is delighting and satisfying the customers. Fascinated as to the effort it takes to sell high quality organic delicious food.
good,Whole Foods Market is focused on providing the best customer service possible and offering groceries with high quality standards. There is a culture that flourishes on individuality and empowering team members. There is a strong belief that supporting team member happiness will lead the way to excellent customer service and sales.
good,Whole Foods Market is great company to work for. They treat their employee very well. The management is also very friendly and helpful. The co-workers were all very friendly and easy to work with. I learned lot of new things like different produce which I had never seen before. I learned to use the register correctly and efficiently. working there was fun for me.
good,Whole Foods Market Is A Great Place To Work. Great People. Great Management. Really One The Best Places To Work In My Opinion. Very Calm Environment & You Can Learn So Much Every Day.
good,"There is nothing like thee atmosphere at Whole Foods Market. Even better is being employed there. With Great pay and benefits, it is hard to try to think of anything bad to say about this job place. All coworkers and management are not only happy to be at work but seem to look forward to it."
good,"This company has been an absolute pleasure to work for. The responsibilities that I have on a daily basis give me the opportunity to develop strategies and concepts that benefit not only my team, but the store as a whole. The culture and hard-working mentality is why working for Whole Foods is a pleasure."
good,"Always busy and never a dull moment. Customers would come and build a rapport. If you felt like getting promoted, it was up to you to apply and display why you are fit, it didn't matter how long you were with the company."
good,"Every day i learn new things."
good,Well our team was a little small 5 men and a floor cleaner. Work was pretty laid back as long as you knew what you were doing and got enough sleep that day. Working night was hard and a big toll on the body. That the only reason i left. Other than that the management and workers were very respectful.
good,"Great place to learn"
good,"Nice environment to work and learn new things about different types of food. Always busy, loved meeting new customers daily. The Whole Foods management and co-workers are the best. I loved working there because the benefits and pay were great and you can learn a whole lot from working there."
good,"Whole Foods is a great place to work as they care about employees and their development and growth."
good,"They encourage employees to stay a long time and apply for management positions. You are offered lots of career development. There are a lot of great perks such as 20% discount on groceries, special programs to boost morale and good company policies."
good,"I clock in get dress in a chef jacket, then head down stairs to start my day which is working the chef case it is a case full of food that allows customer to look into it and pick out the things they will like to take home and eat the food is already cook they just have to go home and preheat the items. After store hours I then put the food up clean the area then go home."
good,everyday i came to work i learned something new weather it was a new cheese we got in at specialty or a new menu we had to learn for the pizza station.
good,The environment at whole foods is great and you really get a home away from home feeling while working. I believe one of the greatest perks of working there was being able to learn so much about the organic products and healthy living.
good,what i experienced at wholefoods  was simply team values and customer satisfaction here i was put to school to achieve my servsafe certification. Became a decent food prep /chef and utilizes my skills to this day
good,Whole is a great place to work. It a clean work environment. The employers are very friendly and helpful. I would recommend to work for this company or to even shop there.
good,"cashier / customer service"
good,I would mostly work on the night shift stocking shelves and run pallet jacks and forklifts from truck to sales floor. Worked opposite shifts on days running the front end checking in with management giving new ideas and checking out customers for overall satifaction.
good,"fast paced, great communication skills are learned everyday,great management,flexible schedules, friendly coworkers and great atmosphere"
good,"A typical day at wok is meeting with my cowokers on how fast or slow the day is, we work well together and help each other when the other is struggling. My management is very friendly, wise, good communicators, and easy to get along with."
good,"working here was a fun and educational experience. learned a lot about natural food and health products, Also learn exceptional customer service and communication skills. Management was great to work with."
good,"I have learned so much working here and highly enhanced my customer service skills as well as my understanding of food. "
good,Its a great company  provide me opportunity to grow as a person career wise. Whole Foods taught me a lot about healthy eating habits.
good,"•	Receive and sign off on the shipment order for the night."
good,"Whole Foods is rated as one of the best employers because they are. Management takes the time needed to find the right people to be team members and make it clear that their job is to support you to help reach company goals instead of ""manage"" you. Whole Foods operates as a team and has appropriate benefits for all levels of team members when goals are met. They keep good morale and get more from each employee by doing so. You're provided with the information you need daily to excel and are appreciated for doing so. Customers are also much better than just about any retail environment because people who care about what they eat have higher self standards and act more appropriately than for example in a mall."
good,It was the best job I had ever had. Very friendly work place. They do a lot for there team members. You get 20% off of everything in store.
good,"I always felt like home there."
good,I never worked with food and working at whole foods was a new experience to me . I got to learn how to keep food looking fresh and good to eat. Sometimes people will pick and mess with food that I would come over to fix and clean the mess left . Afterwards  the food being displayed had a more attractive look. I t was a very detailed oriented job .
good,Whole Foods Market is a very friendly and fun place to work. Each team member is very inviting and nice. Whole Foods Market offers a great communal work environment
good,Great place to work! It has amazing opportunities for people to grow.
good,It's really great to work for a company that has the best interest of its customers. They really stand for a good cause; the health of their customers as well as their Whole Planet Foundation.
good,Caring team members! Fantastic benefits! Love the stores core values!
good,"At Whole Foods, I had a lot of opportunity for growth within the company. I enjoyed working with my team and my leadership team was very supportive."
good,All of my co-workers were a pleasure to be around. The company provides a lot of incentives to stay with them.
good,Whole foods Market is one of the best companies to work for. They believe in what what they stand for. everyone is very nice and hard working. I enjoyed eveerything about this job.
good,Nice job people are very friendly and team players. The pay was alright but contracts constantly changes which messes with there benefits.
good,"Plenty of opportunity to learn knew skills and move up, but also great if you just want to maintain a part time/full time position. Everyone is friendly and says hello. Diverse work place with people from all walks of life who work well together and make a friendly, and nurturing work environment....oh and there's a ping pong table!"
good,Miss this place wish I could get back in. Growth for everyone if you are working hard raises come in abundance. The customers and employees are awesome.
good,"I am able to address the concerns of professionals as my day to day work involves dealing with customers’ queries both in a written and verbal form. Being part of a big team of 40 at Whole Foods, I helped my team meet sales and bonus targets and promote company values."
good,"Very nice people to work with,work ethic is very good,humble people."
