rating,review
bad,I was in the Windstream call center. It was not a good experience. Windstream workload and demands set on their employees were totally out of scope. The customers suffered from Windstream's lack of understanding on how to balance workloads. I would not recommend anyone applying for a call center position at Windstream.
bad,Company had no strategic direction and ran the business into Bankruptcy. Letting go some very talented employees. It amazes me how the BOD allowed this to happen
bad,Don’t go to work here unless you’re desperate for a job. There is no future working for this company. No raises. Promotions only if you know the right people. Constant layoffs.
bad,Everyone is leaving. Upper management has no idea what they are doing. Which is why they are bankrupt. My team was really good. Everyone worked hard and worked well together.
bad,"Windstream bought the old company I worked at, windstream was in financial trouble and was not given a chance to stay on with them. Was let go with a fair severance."
bad,I have been in call centers for 15 years my first question when my turn at the interview was will I have a sales quota? I was told no and that wasn't true. no transparency and frequent metric changes prevent making any money. No PTO.
bad,"Leadership is horrible and so are the employees!! Please be aware of the niceness, willing to help and after work conversations you have with your teammates!!! Dont be fooled!"
bad,"The corporate management here is awful. Local management is ok sometimes. Work week can get up to 70+ hours, mandatory. They threaten write ups if you don't comply with it. The work is stressful and you don't get paid what you should for doing the work. I do not recommend working for this awful company."
bad,"Not enough one on one"
bad,Th ed area I worked in florida was ran by very bad management that did work in the field and ne vfc re updated printd or there cadd system was ran by olb construction had no ideal as to how and do the complete job I have seen that so many times in th he telecom field just because your spending the monies does not mean the job is complete
bad,"I have so much to say but to sum it up this place is a complete hostile work environment on steriods! I was held in a closet, stalked in the parking lot, harassed by a manager....I still suffer from PTSD from the working conditions.   I wish  there was something I could do"
bad,"It is painful to wake up each day and know that I have to work another day at Windstream.  The area VP is in over his head and is downright rude and condescending to everyone else at the company.  Everyone absolutely hates working for this clown, but his boss is just as big of an idiot by promoting him in the first place.  Sales are down significantly and there is no way that this company can survive their current bankruptcy.  I don't know of a single rep in the region that is not actively looking for a new job.  This is the worst company in the industry and perhaps in the entire country!"
bad,"Management is ineffectual and inefficient.  Time off requests are processed by a third party, with no interest in the employee's well being.  Compensation is inappropriate for duties.  Stubborn insistence on using outdated, record keeping and update systems. Fear of automation boarders on cultish."
bad,"There were about 100 people working out of our building.  I can promise you that every single person in that building hated their job.  I had a work load that would have taken about 10 people to complete in a reasonable time frame.  And I wasn't alone. This was happening to everybody.  Then they just kept cutting more more people and just got worse and worse.  "
bad,"Had to pay HR rep in Twinsburg Oh $500 for a job. paid and was hired without anymore interviews, waived the drug screen and background check,  kind of regret paying for a job, but with a criminal record I had no choice"
bad,"Poor management, no accountability, bad behavior is rewarded. Deadweight has steady employment while hard workers are let go. If your manager likes you you are golden."
bad,"Their was no room for growth, The supervisor barely came out of the office to speak to you. It was micro managed and you were not treated with respect."
bad,"Constantly changing commission structure even in the middle of month and never to the advantage of the employee, long hours, poor upper management, no raises, no consistency and not everyone is treated equal, the only positive about this company is your co-workers are awesome"
bad,this was mainly a sales job. focused more on trying to get customers to stay with the company and buy more products. expectations were unrealistic and the force to make quotas was not something i wanted to continue doing.
bad,"If you can spew out robotic answers in an unscripted way and can be micromanaged and be ok with it, this is the job for you.Hours are set, your calls are monitored you have time limits on how much time you can talk and establish a relationship. It is encouraged to send thank you notes, but no time is given to do this."
bad,"Windstream has constant lay offs.   The company is not managed well.   The benefits and compensations are not industry standard.    "
bad,I knew more than my managers who were glorified PMPs non IT. They ran the department like a call center and did not understand the need for a quality interaction that would actually resolve the issue at hand.
bad,"As a contractor for Windstream, they were ruthless and uncaring, as well as did not pay well for the types of position they were hiring for."
bad,They claim to be a family. Management comes from less respectable call centers and enforce those terrible values on Windstream. Hours were 10-7 which is smack in the middle of the day. Staggered days off. Unrealistic sales goals. Poor training.
bad,"Management and the benefits are about as bad, if not worse, than the services they offer. Medical benefits are practically non-existent, it consists of a high-deductible plan which means you would be paying thousands out of pocket before coverage even starts."
bad,"Worked for a while in their Evansville, IN, NOC."
bad,"There were many agents who were given special treatment just because they were in good with certain managers. I was in a situation in which I was an abused spouse and even though I approached HR, approached my manager for any help or assistance that the company might give me, after working there a year they decided to let me go. I wouldn't wish working there on my worst enemy."
bad,"Company had many challenges. They couldn't install services in a timely manner. The majority of commission payment was based on Install. Hence tremendous commission issues. Management did not care their answer was ""overlook the issues and just sell""."
bad,High layoff rate. If you are looking for stability then this might not be the best company to work for. Compensation/Pay rate could be better as well.
bad,"Not a good place to work"
bad,says one think and does another often will blind side employees with misleading information. over a difficult place to work with any job security. leaving employees wanting other jobs.
bad,"Less than a month of hiring me they had already dissolved my specialized position and put me in a call center. Chained to my desk, scrutinized any moment that wasn't spent available on the phone. 100+ phone calls a day weren't unheard of dealing with people just as miserable as you. On top of the phone calls you have to program customer orders into the internet and phone systems that hardly work(programmed by the cheapest Indian sources available). If the calls are too severe that day and you don't have the time to touch an order, you're rewarded for your efforts by compelled to stay late until the work is complete. This could take 30 minutes, or it could take 3 hours. Every day was an effort in futility as you move the same number back and forth between the same two systems for absolutely no reason at all. When I started we had 20+ people, over two years they whittled it down to 10. Trying to do ""more with less"", they say. Insurance premium would have been more than 10% of my wages. I could have dealt with that if there were any benefits to it at all before a $6,000 deductible was met. Even after the deductible the coverage was minimal at 20-40% for a lot of things. If all this isn't bad enough you have management breathing down your throat, absolutely obsessed with meaningless ""metrics"" meant to gauge your performance. You can't even make a two minute call at your desk to your family to check up in case of an emergency without being reprimanded. On more than one occasion my boss hadn't updated the schedule and let me drive all the way in just to tell me I don't work that day."
bad,"Poor Management - no direction.  Constant layoffs, no job security, employees being promoted by who they know and not by skill or experience.  No confidentiality, Upper Management detached from their front line managers and floor technicians.  Low morale.  Doing the same thing over and over and expecting different results - the definition of insanity."
bad,I have been apart of 4 layoffs at Windstream. This makes for a very hostile environment and it kills the morale of the company. Windstream does not care about their employees.
bad,"Not Often.  We had a wage freeze last year,  but executive received their bonuses while salaried received a freeze.  The company does not care if the employees that they say they appreciate so much are able to pay their mortgages or not.  Take care of their families or not."
bad,"not a good place to work period"
bad,"Not paying enough to fix bad management mistakes.  After spending many extras hours to meet unrealistic expectations, I fixed or assisted in fixing many network problems.  I've achieved the MEF certification, and no pay increase, no promotion, nothing.  Just more unrealistic expectations to fulfill."
bad,"the Iowa jobs pay well for entry level around 15$ to start.   however, you are stuck in that role no real chances to move around and 1% yearly raises.   Most people that work there are happy"
bad,Very toxic place to work. It was like working in a high school full of adults acting like children. Very clicky. Very micromanaged down to the sec you get into work and the sec you leave it was horrible.  I lasted 1.5 years and I left couldn't handle working with adult children.  Someone always trying to throw someone else under the bus. Totally Ridiculous. I wouldn't work there again if it was the last place to work ever.
bad,"The 2017 fiscal year will be heavily scrutinized as the company absorbed Earthlink, showing positive on the financial statements, however the overall outlook in 2018 seems a bit dire."
bad,"Awful benefits. Management even worse. Stay away -- they are headed to bankruptcy. The 2018 benefits look a bit better, but otherwise prepare to pay most of your paycheck in benefits if you have a family."
bad,"Constant process changes"
bad,My time working at Windstream was not pleasant! I went into the postition very enthusiastic & excited for the position i was going to be working only to be belittled & made feel less than appreciated by management. i feel i was treated very badly & reported this to several peers who all felt the same. Management was horrible. they don't appreciate their job.
bad,Outsourced jobs because it was a cheap company. Almost 200 people lost their jobs over a few months and hundreds more over the next year. They did not care that the outsource effected so many families lives. When you are a single income it really hurts when they tell you this in 1 month before you are no longer going yo have a job. I would suggest no one apply or work there because it is not a stable job and the environment is not very good
bad,slow to no work management unqualified windstream does not care about their employees.  No raise for the last 10yrs every year they are taking benefits away from employees while mgmt receives bonuses and better benefits.
bad,"No time off 7 days a week, great pay, but no room  for growing.  Very old technology.  If you you really need a job go for it.  The insurance is a joke."
bad,Windstream LLC is a combination of numerous companies combined under one corporate management team. The company has failed to integrate and organize the company into an effective operation delivering excellent and reliable products / services to customers while maintaining a decent investment return for investors. Windstream offers numerous products and services to customers while providing poor quality and unreliable customer service.
bad,Company starts off with low pay. Must meet monthly sales goals. Must adhere to schedules breaks and lunches.No promotion within the first year of service
bad,Very stressful not customer serving not willing to structure support groups to better serve the customer! Training was very poorly administered. My first 4 managers I worked with at the company were very good at managing and comfortable in technical situations. My last two managers they were totally clueless on managing and even more lost in the technical world. In Windstream some people get positions not on their ability but more about who they are friends with.
bad,A typical work day consists of working escalated orders due to internal department delays. I have the learned the Project Coordinator must Project Manage their assigned orders. Management does not help with assisting on escalations. The work place culture is very stressful due to the PC is held accountable for all facets of the order which is the hardest part of the job. The most enjoyable part is having a successful turn up with the customer.
bad,"Worked for Windstream in operations support for just under 3 years. Worked under several different managers in a very short span of time. Was consistently responsible for several different reports for basically the same reason, all of which were redundant and were supposed to be geared toward some sort of long term plan to reduce install intervals. Very little actionable results ever came of any reports I completed when I did work there. "
bad,"Can't trust management.  Unprofessional in how they treat people.  It never fails, the brown nosers who kiss up to management always gets promoted.  Hardworking workers never get promoted. Get overlooked. Looking for another job. Would not recommend working for this company.  This is the reason why they are always hiring.  they are always hiring, that means that this company can't keep steady good employees-they all leave for a better company to work for.  if you get hired, you will always be working with a bunch of unprofessional people."
bad,"this company buys several smaller companies, making the sales associates compete with similar products in the same vertical. This is a data/network driven company, if you are on the voice side (UC/CC) you are the red headed step child, this is very unproductive."
bad,"VP level management refuses to focus on actual problems facing the company and provide no real support."
bad,"This is the most dishonest company that I have ever seen.  I left the company because I didn't agree with lying to customers and ""do whatever it takes"" to get a sale.  It's ironic that they call the position customer service, but that is far from the truth.  The majority of the management is a joke.  I worked in the telephony industry for over 10 years and would not recommend my worst enemy to work at this place.  There is nothing like going from working for a good company (Iowa Telecom) for 10 years and that company being sold to the worst company (Windstream).  You are not recognized by name here, you are just a number.  Gotta love that corporate world. You mean nothing to them.  If you have anything higher than a GED, do not work here."
bad,"The work I performed is not the problem there and I like what I did work wise. I have never worked for a company that is this hostile and toxic as far as the work environment. For a telecommunication company, there is no communication whatsoever. I have personally observed managers throw their entire team ""under the bus."" The only good part about this place is their employees who are so devoted and talented. It's sad to see these talented folks micro-managed and treated unfairly. The turnover rate in Greenville is high. We have filled out employee surveys and nothing has happened despite all the promises made. Our health benefits were good until last year. Many employees are looking for another job."
bad,Turnover rate is something like 80% management is cutthroat they value sales over people. Their health insurance sucks it is awful! They find ways to get rid of hard working employees watch out for HR they make up stuff. Horrible management Horrible place to work I do not suggest this evil evil place they are pure evil
bad,nothing good to note here as the corp culture and support are non-existent. mass exodus currently happening to all business units
