rating,review
good,Okay place to work but just so far to travel to work. Excellent cultural balance but slow growth process due to changes within company direction for the future.
good,"Technology, as a call center, is naturally incorporated into the work day so skill set is continually growing. Management is fair and open with employees."
good,"Answered 100 plus inbound calls during peak periods a day, assisted employees with information in regard to forms and documents required for dependents' health care eligibility. Audited all incoming documentation for dependent health care eligibility. I learned to effectively multi-task while maintaining company's benchmarks for customer service performance and data accuracy. Staff consisted of multi-cultural environment and although in a fast paced enviroment, family atmosphere within co-workers existed. The hardest part of the job consisted of maintaining perfect level of performance in customer service, which was monitored on a monthly, quarterly and yearly basis. The most enjoyable part of the job was the satisfaction of knowing I was good at my job, I did it well and it was acknowledged through my performance reviews."
good,No job is without obstacles. So be prepared.... The unexpected is what keeps the job fun.
good,when i started the job i was the younger from all the employees. under them i started training for design work and got the best of the knowledge.
good,A typical day at work consist of answering phone from customers with problems with their cellular devices. I learned that there are alot of different ways to help people. My managers were very helpful and were able to answer any question I had. My co-workers were friendly and outgoing. The hardest part of the job was the low interaction with the customer. The most enjoyable part was to be able to help customers come to a solution.
good,Would cold call and also leads were generated thru Xerox. Sales reps were trained on the copiers . Product demonstrations were done on the sales floor. Written proposals were done before the client came in. Depending on the volume of copies and other factors we would propose a contract. Follow up product presentations after the copiers were installed by a Xerox tech.Times were good and Xerox was the copier indusry leader.Good commisions and great people.
good,helping people with verizon accouts. I learned alot about communicating with other alot. Co-workers were very nice.
good,Go to office at 9:00 stay untill late in the evening.
good,"Empresa de nome conhecido no mercado de trabalho e multinacional, com benefícios bons. As tarefas diárias não são de complexidade alta, mais não deixando de serem importantes; trabalhamos em conjunto para atingirmos as metas impostas pela nossa supervisão que nos apoia, coordena e direciona de forma simples e objetiva. Nosso cliente é muito exigente e por este motivo a equipe tende a ficar em alguns momentos sob tensão. Mais porém ao chegarmos ao fechamento da nossa fatura recebemos gratificações que variam entre valores e favores concedidos a todos da equipe."
good,"very busy call center, great team leaders, very casual and laid back atmospher"
good,Xerox is a bellweather company in the U.S. They spend enormously on employee growth and development. Great teamwork environment. We are given the latitude to best utilize our skills and training to best support our partners and customers.
good,"work from 8 to 5,the managment was very easy,pretty much let us do our work with out supervision ,we all knew what to do on the daily"
good,"The best part about working for Xerox Corporation was going thru their 'Sale Solutions' training. Learning to understand the customer and their company overall goals, BEFORE offering any products, was a valuable business lesson."
good,"6 to 8 weeks of training, in production you take anywhere from 50 to 100 inbound calls daily or more depending on the length of the call."
good,"laid back environment, no micromanager, compensation was good, friendly co workers"
good,"Friendly enviorment, coworkers and managment. I enjoyed working for Xerox."
good,I really don't have anything to say. Great place to work. I really don't have much to say about the company
good,Assist customers over the phone regarding their supply orders. Interact with my co-workers in between calls. Small group but very close.
good,Xerox is a great place to work in
good,"2001-2002 Xerox Copy Center Philadelphia, PA"
good,"During my time at Xerox, I greatly enjoyed the professionalism of the atmosphere, collaborate with co-workers, and everything I learned in my position. The Ink R&D Dept was fantastic. The management was some of the best I've ever experienced, the team was very supportive, and the work we did was quite exciting. "
good,In the technical field you must be able to multi-task your day to day activities.  The hardest part of the job is time management.  There are always available resources to you from your peers or management.
good,"Good Company as well as the management. "
