rating,review
bad,"I have never worked at Yahoo.com.  I currently work at Owens Corning at 500 Case Ave. in Newark, Ohio.  Owens is a union based employer which for someone like me, that shows up to work to give a 100% everyday,  is just not a good fit.  All job advancements are based on seniority,  not work ethic and experience.  I am looking to gain employment with a company that values hard work."
bad,They let employees go after 5 years loyal service or make life miserable until the employee quits.
bad,There were days when it created an impact on the world. Now it only survives on that legacy and having a slow death every day. The management and its promises fluctuate like a pendulum. Job security is nill.
bad,"Relentlessly tense atmosphere, backstabbing, poor managers, micromanagement and neglect at the same time. Massive, ineffective bureaucracy. Terrible stack ranking evaluation system; performance evaluations were simply a means to fire people. Managers tolerated bullying and discriminatory behavior, and engaged in it as well. Typical workday would involve sitting down at your desk and working non-stop without relief at tasks you were never quite sure were contributing to the company or not."
bad,"with free food all day, gym, phones, and mac laptops it's generous."
bad,"When I joined the company, there were great people, a ton of industry leading technology, and a sense of camaraderie as we tried to turn around an industry icon."
bad,"Some of the perks are still good at yahoo! like Free Lunch."
bad,"overall it is nice work place."
bad,"Managers get promoted based on the friendship relationship they have with their managers. Managers are lacking real management skills, there's no sense of career advancement. Other than that food is great and benefits are good even though salary is really low and never gets increased."
bad,Frustrating to work for.
bad,Not a flexible in schedule low wages favoritisms don’t honor requested days off not always allowed to use earned days off not a good place to work it seems to be behind the times when it comes competitors
bad,Product Analytics at Yahoo gave me the chance to learn about how user behavior is affected by changes to products. Discovering patterns among a broad user base has its challenges and would have loved to learn how to penetrate this space further.
bad,"Working 24/7 wasn't enough.  Their quarterly goals will burn you up and spit you out...and then they'll just hire a fresh person that knows nothing for you to train them so they can take your job. I enjoyed my role here tremendously, but departmental cuts kept whittling down my staff and pretty soon I only had the outsourced team."
bad,Position was portrayed different than what it really is. Did not know it was a call center. There are no guarantees for advancement and not much room to grow.
bad,"This company makes a great offer, high compensation including free food, cellphone and gym reimbursements etc. The catch is that you are expected to work all hours of the day and give and give until you can't give anything else. There is no work/life balance and the boss's do not care that you have a family. You are required to compete against ALL of your peers which causes a tense and stressful working environment. Shortened cubicles are claimed to ""open up teams to working together"" and you still end up sitting next to people who will not work with nor help you on anything. This is truely the worst environment I have ever worked in. I am currently searching for another company to change to in order get my work/life balance that I miss so much."
bad,The company has a feeling of defeat throughout .. defeated by Google.  It's a terribly boring place to work.  The management is often absent and/or hostile in their interactions.
bad,"Strategy changes often, which effects teams directly. No job is safe;  everyone is on the edge of getting laid off at any point in time because of strategy changing on a whim. Benefits are good."
bad,"Yahoo! would be a much better company, if it was real diverse. diversity does not mean only moving people from India.  This over exceeding move now are going to cause problems for the company. diversity should have a fare distribution."
bad,"Good company to work for"
bad,"Buena compañía para trabajar, no tanto el ambiente."
bad,"This review is applicable for developer and tester - individual contributor roles. "
bad,"At the time, Yahoo implemented a ratings system where teammates were ranked against each other. Anyone with a low ranking for multiple quarters was let go, regardless of how well the team was performing on the whole. It created a tenuous atmosphere."
bad,Quarterly written reviews and goal summarizing would barely be completed when the next cycle had to start. Being a people manager at Yahoo was very challenging. Constant change and could never finish anything before minds were changed. Layoff was a blessing.
bad,"Directionless, poor leadership, identity-less company. Wonderful people work there, but they seem to clear house of all leadership every two years. No one gets too much of a chance to succeed."
bad,"Large companies arrive with a wealth of issues as well as benefits. Things are no different in Sunnyvale, where we've had our fair share of challenges. The companesation here is excellent, but right now the company's vision is still being determined."
