rating,review
bad,"When I reported misconduct the manager I reported it to made fun of me with the other workers and used all kinds of tactics to try to run me out.  Personally I was attacked professionally by managers who tried to put me in roles that were way beneath level of education, experience, and skill set."
bad,Working here didn't enable me to learn anything new at the workplace. I felt that I wasn't developing my skills towards a future job or goal. The management was disorganized and out of the loop towards work objectives. A toxic work culture is present that deters individuals from wanting to work there.
bad,"Worst job I’ve ever had. Pharma packaging 1st shift is a dumpster fire. Team lead has no control over his own team. Very high turn over rate. Every poor decision of his that is more hurtful to the team or individual employee, he explains away with “business needs” and offers no other reasonable explanation.  Safety, morale and recognition take a backseat to drama, gossip and harassment. This place is a lawsuit waiting to happen. Job requirements, expectations, responsibilities are too high for the rate of pay. Mandatory overtime and 12 hour shifts lead to poor work/life balance.  The “training” is terrible. They pair you with the oldest crankiest person who clearly does not even WANT to be training anyone, let alone BE there, and then wonder why there is tension and friction. HR is just as bad. Every time you ask her a question she tells you to call a 1800 number. Lots of very illegal and immoral things happening here. She says she will “take care of it” but nothing gets done. I’m not even exactly sure what she does all day? Obviously not her job. Last but not least, cheating on your spouse with a co worker here is the company norm. Do yourself a favor and stay far away from this place"
bad,"Unless you like being a brown noser, you will get no where in this company.  Management does not like to do their own job, so they make the suck ups do it"
bad,"I started out as a temporary employee. Was granted permanent status within several months, upon proving myself as a worthy employee. Senior employees bullied me, was referred to as, hey you. I would tell them my name, but to no avail. I was picked on and sabotaged by coworkers. Misogyny and xenophobia were prevalent."
bad,work work work that is all you did at Zoetis.  They were always looking to cut jobs and save money when Zoetis in a hole makes 4 billon a year.  Would not recommend working there
bad,Poorly managed team where training and advancement require a person to suck up to the supervisor. Highly stressful and lots of favoritism shown. Back stabbing environment.
bad,Horrible management in Lewisberry Pa. No training for new contract workers. Work from 6a.m. until 8p.m. due to lack of workers and no management of the floor and people.
bad,"No chances at all to career advance.  The salary is very low in comparison with other industries as Zoetis. We work in ""Survival Mode"" all de time. The management doesn't care at all about the employees. Terrible place to work."
bad,My work day started at 5am to 1:30pm. I had to set up filing room equipment. i do environmental motoring. I filled out paper work. Get equipment ready for filling the product and do more paper work. Hooked up sterile tanks for filling products and more paper work. Start filing vile and check fill in bottles and then more paper work. Begin filling process and start the procedure for the day.
bad,"Zoetis, Inc (former Pfizer, Inc., Animal Health), Brussels, Belgium, 2013-Present"
bad,"I had a couple more months left on my contract, and out of the blue, they cut it short. You can't trust these people. "
bad,This could have been a good company but inept management --all imports from Pfizer---has led it to become a seemingly inevitable takeover target.  The culture has been decimated after the recent 20% cut in the workforce.  Not a good place to work!
bad,"Boss who poorly communicates, if at all. No room for advancement.  Department head knows nothing about me or my function. Marketing can be petty and vindictive,"
