rating,review
bad,"I worked for this company for 16.5 years. They closed in June, 2017. The last two years were not good at all. A complete shift in company culture was the demise of the company."
bad,Good company but folded years back. I enjoyed working there but always heard the optimist side that all is good. Then found out it closed. This was a few years ago
bad,"Closed down 3 Years ago, went out of business. Went bankrupt. Closed down. Upper management ran the company into the ground. Yet they walk away well off."
bad,"Undoubtedly hhgregg was the worst company I ever worked for. The regional manager was racist, lazy, indolent & CYA in all situations & left his people out to dry. The upper management all jumped ship after it was obviously failing & showed no concern for their line level managers & associates."
bad,They suck company was run by x out of work out of ideas hasbens they put people in position that were far from qualified management was teribal. Hope they come back with better management
bad,Working at HHgregg was interesting to say the least. I worked in the store warehouse and I did anything from unloading trucks to cleaning the store to helping customers. Management treated me very well but there was no growth for me within the company. HHGregg is now permanently closed.
bad,"I would never suggest this company to any jobseekers, which felt more like a scam for the payment compensation. Do not work there if you can avoid it."
bad,"Very little sales training, thrown to the wolves. If you asked questions, you were a problem. You never knew you were on the way out until that time comes and, you're gone!"
bad,"Unrealistic goals created high employee turnover rate."
bad,This job is horrible didn’t care about their customer that purchased very large items from them.. Place had got closed down for business and wanted their employees to work up until the last day the business was closed
bad,"theyre closed down forever. pretty easy as a cashier/customer service representative. I didn't learn much. Cash handling experience is a must. If you sell, you make LOTS of commission"
bad,"their closed for business, I however enjoyed helping customers get what they needed."
bad,Out of business. Alot of standing around waiting for customers to come into the store with the hopes that they would purchase furniture. There was an actual furniture store across the parking lot.
bad,Company no longer in business no review is needed for this company because you would be unable to apply for an position within this company.  While I was there it was a decent company.
bad,"Best pay was achieved thru selling beds, which I did, but heavy price competitiveness made it near impossible to make minimum wage.  Likely why they closed tried to be walmart of appliances."
bad,"I was a contractor ,hard worker, and didn’t see and progress at hhgregg. I had a very good relationship with everybody I was just work to much and didn’t have time to go to school and etc."
bad,"Privately Run - Now out of business.  Fast paced, rules always changing, company did not value family or employees.  Alot of changes made without input of those that actually new the work first hand."
bad,the company is closed and nolonger available for anyone to work there. I did enjoy working at the company. Very sad that it closed. We were like a family and I miss being there.
bad,"H H Gregg was very unorganized upon my arrival into the company. As a new Store Operations Manager learning about H H Gregg's vision, there were 3 or 4 General Manager changes in the first six months of employment. Stressful experience not having a consistent system to the daily task of my position below the General Manager."
bad,"I hated every minute of this job."
bad,I liked working there until us employees found out at the same time the public found out they were going under and it was basically like a house of cards. Everything started falling apart shortly after and the good employees left quickly leaving warehouse people to be on the sales floor. They closed for good so no probably don't want to work there again.
bad,"management was young and overly agressive,would not recommend"
bad,"out of business. cannot rate based on the fact that hhgregg does not exist any more.  while i worked there i liked it, but no one will ever work there again"
bad,Atmosphere was good. Commission structure was flawed . dishonest with consumer. Not paid for the hours worked off the sales floor.whole company was flawed and went bankrupt
bad,"The management would change my sales tickets, giving my commission to a favored employee. Not just at the store I worked, but all stores. HhGregg still owes me money."
bad,"...and not surprised.  The commissions are the worst of any company I've ever worked at, and the pay structure is designed to give the salesman as little as possible."
bad,"It's okay. I have the memory of the great first dog, and everybody loves the Mini Hut, they won't miss my business. "
bad,"All the stores closed because of poor mgt  I reached out to the board and CEO.  This resulted in a phone conversation but no action, after closing they did thank me for the ideas."
bad,"Never work it. The people were bad. Management was bad. It was a straight commission job, so it didnt pay, unless you sold, their prices were so high it was hard to sell things......"
bad,I signed on as the company changed leadership due to losing money. Pay and benefits were cut. Commissions were the bread and butter and they were cut drastically. They went out of business this year.
