rating,review
bad,"Thing 5 was not my favorite place to work, 15 year old start up that couldn't get their ideas and vision together, management style was fear and intimidation"
bad,"Management was petty, condescending, arrogant, and childish. Insinuations were made regarding females and their role in the IT work place and quite frankly, I regret every second I spent there."
bad,I’ve been in Support for over 4 years. Very tough to get a promotion or internal transfer. Work culture is one of fear and aversion to innovation. Multiple people are leaving due to lack of career advancement opportunities in Support.
bad,Young/liberal. The product is too big and complicated for the average business. It is really stupid how how they buy into their own B.S. Many companies are dropping their contract with Salesforce. Cut-throat.
bad,"Infrastucture was great the facilities provided in the office were good "
bad,"When I got the opportunity in, I am very excited. But with such a poor management team, I don't know what is the future of the employees. Job security is very low in Salesforce, you never know when you get pink slip and you don't know why they are giving it."
bad,"-Lack of strong high level leadership"
bad,"Awful. Felt like high school. Cut throat environment, manager would belittle peers in front of you, so you know they did the same about you when you weren't around. You're only allowed to log 40 hours a week but work closer to 60. Volunteer opportunities are ""voluntary"" but you get criticized if you don't do them."
bad,Basically good ideas for a workplace... unfortunately filled with quite immature people who form little cliques and bully others even on their own team.
bad,"Salesforce is one of the best place to work. Good working environment, good people and excellent management structure. It is a great privilege to work in such a company."
bad,I do not choose to comment on my employment at this time. Salesforce is my current employer and I am currently open to new opportunities in the bay area.
bad,"Long hours, toxic culture in CSG, no advancement. Good teams to work with for the most part, but don't expect management to support your advancement goals. Only concerned about themselves."
bad,"A typical day at work feels like being chained to a desk. Management has little to no attachment to employees."
bad,"Very bad Institute"
bad,"Salesforce is changing. Some things for the good like the amazing office spaces, especially in hub cities where there is a ""Tower"" building. The views, environment, as well as amenities on those top floors and throughout the building is very good by any standard."
bad,The team was in turmoil but the management was very supportive. A lot of politics going on in HR but great benefits and interesting job. The CEO is amazing in giving back to the community
bad,I worked at Marketing Dimensions.  Liked the people that I worked with. I was hired after staying home with my children for 12 years.  Great start into the work force
