username,handle,tweet_text,time
TexasTreasureHunter,@GamersRock,Check out Coca Cola HEARING FROM YOU IS A SPECIAL TREAT 1999 Polar Bears Figurine #CocaCola https://ebay.us/ygqeyv via @eBay,2020-02-15T21:45:02.000Z
SinG - オールマイトが大好き,@singartworks,"This thing froze my head, my stomach, my heart and my soul with a single sip... #cocacola #fantafrozen https://pic.twitter.com/qBDvQM8eFG",2020-02-15T15:15:11.000Z
Soy,@Soyhouseorg,"I’m back from working out, and now drinking #cocacola Zero!Taking lots of...",2020-02-15T03:43:46.000Z
Ralph Haines,@RalphHaines2,Check out Coca-Cola Baseball Cap. Black with Embroidered Red Bottle Logo. New w/o Tags #CocaCola https://ebay.us/sXuX6O via @eBay,2020-02-15T18:49:22.000Z
Credit Insurers Association,@CreditInsurers,"DID YOU KNOW? The first servings of Coca-Cola were sold for 5 cents per glass. During the first year, sales averaged a modest 9 servings per day in Atlanta. Today, daily servings of Coca-Cola beverages are estimated at 1.9 billion globally. #AtlantaSights #Cocacola #CIAATL20",2020-02-14T19:48:27.000Z
Spot The Deal USA,@SpotTheDealUSA,#Free 2-Pack #CocaCola Energy Drinks + Free Shipping (#Alexa Device Required)  https://spotthedealusa.com/post/free-2-pack-coca-cola-energy-drink-alexa-device-required…,2020-02-15T04:59:26.000Z
Marty Mankins,@martymankins,Coca Cola puzzle completed - by rebareiser and myself. And with no missing pieces #puzzle #cocacola This one was a Christmas gift to me from my wife some years ago. Finally worked it together. The snow part was the… https://instagram.com/p/B8mVEdhFBzy/?igshid=ebc0wa0hqz78…,2020-02-15T19:15:12.000Z
Nesie Ree,@KneeCRee,Check out Coca-Cola Checkered Black White Red Mug Coffee Cup Gibson Coke Collectible  #CocaCola https://ebay.us/DLO4ep via @eBay,2020-02-15T05:02:30.000Z
Mo CheddaH,@MoCheddaH,"See you at supreme lounge ,26 oba Akran Ave ,Ikeja on Monday 17th feb ..Let’s #banterwithcoke and watch the Red Devils and blue Devils play !!!#cocacolang #cocacola @cocacola_ng https://instagram.com/p/B8lhiaBBuqf/?igshid=doeia4bz00ac…",2020-02-15T11:50:57.000Z
SinG - オールマイトが大好き,@singartworks,"This thing froze my head, my stomach, my heart and my soul with a single sip... #cocacola #fantafrozen https://pic.twitter.com/qBDvQM8eFG",2020-02-15T15:15:11.000Z
Soy,@Soyhouseorg,"I’m back from working out, and now drinking #cocacola Zero!Taking lots of...",2020-02-15T03:43:46.000Z
Credit Insurers Association,@CreditInsurers,"DID YOU KNOW? The first servings of Coca-Cola were sold for 5 cents per glass. During the first year, sales averaged a modest 9 servings per day in Atlanta. Today, daily servings of Coca-Cola beverages are estimated at 1.9 billion globally. #AtlantaSights #Cocacola #CIAATL20",2020-02-14T19:48:27.000Z
Spot The Deal USA,@SpotTheDealUSA,#Free 2-Pack #CocaCola Energy Drinks + Free Shipping (#Alexa Device Required)  https://spotthedealusa.com/post/free-2-pack-coca-cola-energy-drink-alexa-device-required…,2020-02-15T04:59:26.000Z
R.J. MacMuzic McLean,@MacMuzic,#coke #cocacola #jbl #jblheadphonesDJn & Photography with US.#DJ #TAMPADJ #DJMACMUZIC  #MACMUZICPRODUCTIONS #CLEARWATERDJ #ORLANDODJ #STPETEDJ #TAMPAWEDDINGDJ #STPETEWEDDINGDJ… https://instagram.com/p/B8mW9cOlsAM/?igshid=1u0nseg93ug3y…,2020-02-15T19:31:44.000Z
N͓̽3͓̽0͓̽N͓̽,@tizenharom13,#cocacola#kwgt @GhanoDZpro Hipster#icons @DarkoPhantom#template @AndreasH___,2020-02-13T16:25:22.000Z
Cokers Barbeque,@cokers_bbq,"Show your significant other just how much you love them, with delicious Texas Style BBQ to feel their bellies.  BBQ & Coke®, what could be better!  #valentinesday ..Like & Share for more like this  #CocaCola#TexasStyleBBQ#ShareTheLove",2020-02-14T16:35:10.000Z
Sock Snob UK,@SockSnobUK,If you are looking for socks with buckets of character then these Coca Cola branded socks are the ones you've been looking for!  http://bit.ly/2wc125K #Shop #Shopping #rt #retweet #follow #OnlineShopping #Website #Gift #CocaCola #TasteTheFeeling #ItsTheRealThing #Funky,2020-02-15T16:25:03.000Z
Isabelle,@isatori4,Guess mint ones are better #tictac #cocacola,2020-02-12T19:09:35.000Z
Sebby Hernanez Nakale,@NakaleSebby,The Colour Of Love. #cocacola,2020-02-14T10:58:17.000Z
Judge Reid,@judge_reid,,2020-02-12T17:23:42.000Z
Marc S,@Enigmarc,Who knew? #caffeinated #buzz #cocacola #coffee https://instagram.com/p/B8mbSIvg3k-/?igshid=ivoaxzggtev4…,2020-02-15T20:09:29.000Z
キーラ,@qMkCDrkGdXoV4r1,I got sick and I feel like I’m about to die. #Eyeshield21 #art #drawing #cocacola,2020-02-15T16:40:32.000Z
Cokers Barbeque,@cokers_bbq,"Show your significant other just how much you love them, with delicious Texas Style BBQ to feel their bellies.  BBQ & Coke®, what could be better!  #valentinesday ..Like & Share for more like this  #CocaCola#TexasStyleBBQ#ShareTheLove",2020-02-14T16:35:10.000Z
Sock Snob UK,@SockSnobUK,If you are looking for socks with buckets of character then these Coca Cola branded socks are the ones you've been looking for!  http://bit.ly/2wc125K #Shop #Shopping #rt #retweet #follow #OnlineShopping #Website #Gift #CocaCola #TasteTheFeeling #ItsTheRealThing #Funky,2020-02-15T16:25:03.000Z
Isabelle,@isatori4,Guess mint ones are better #tictac #cocacola,2020-02-12T19:09:35.000Z
キーラ,@qMkCDrkGdXoV4r1,I got sick and I feel like I’m about to die. #Eyeshield21 #art #drawing #cocacola,2020-02-15T16:40:32.000Z
Salisbury Saint,@SuggestionKen,"I think the issue here is that manufacturers can continue to produce plastic waste with impunity, while we have to pay for it's recycling through our council tax. How much extra tax are you prepared to pay just because #cocacola  won't stop using plastic...",2020-02-15T15:39:32.000Z
K-V Musakanya,@KMusakanya,Just saw a #pepsi truck delivering #cocacola & #fanta .Only in #Zed. #brands #brandidentity,2020-02-15T08:47:13.000Z
"Pickled Snoke, as a treat",@Snokles1,Happy Valentines Day!#cocacola #ReyloLove,2020-02-14T16:22:36.000Z
Laque,@LNomtshwe,Temp is 33.5c Dr can we please do this otherway coz i dnt see ma self stopping on #cocacola,2020-02-14T10:16:26.000Z
Grand Nerd,@tdarkdz,I think All Might designed drinks for Coca Cola. #MyHeroAcadamia #DisneySprings #cocacola,2020-02-14T00:27:51.000Z
Darryl,@HULK_squish,"Not always my birthday, but #AlwaysCocaCola #CocaCola #BirthdayPresentsFromNephews",2020-02-11T22:45:24.000Z
tuff-bopz,@BopzTuff,Sometimes you just have to relax and taste the feeling #cocacola #Nigeria plz retweet my tweet my client might be in your timeline,2020-02-11T18:32:35.000Z
C.I.É. & Dublin Buses.,@myDublinbus,Donnybrook's Coca-cola clad RH87 on a 13b to Baile Bui. January 2000. #dublinbus #cocacola #dublin2000,2020-02-11T14:23:02.000Z
Emmanuel G.,@Que_paso_guada,Need. #cocacola,2020-02-11T05:36:03.000Z
Efeonah Samzzy,@samzzyconcept,DM for your own shot#samzzyconcept#CocaCola,2020-02-10T22:33:54.000Z
Vagish Dixit,@vagish_dixit,"The unsung hero in ""Design for Recycling"" with dramatic carbon footprint reduction is 250 ml Coke's global launch in India with a bottle weight of 9.6 g. 25-40% lighter than best in class and 95% lighter than glass and 100% recyclable. Bravo!! #cocacola #recycling #beverage",2020-02-10T14:48:56.000Z
Investment Talk,@InvestmentTalkk,As an investor in Coca Cola #KO i often like to try out their new products. Today i am tasting some Coca Cola Energy! Have to check up on my investment and it’s offerings. #KO #cocacola #dividend #portfolio #stocks,2020-02-10T07:39:18.000Z
DesNuv,@blessingtwo_,Msi ter-Love #nutriboostcoffee from #cocacola,2020-02-10T03:48:28.000Z
Darryl,@HULK_squish,"Not always my birthday, but #AlwaysCocaCola #CocaCola #BirthdayPresentsFromNephews",2020-02-11T22:45:24.000Z
