username,handle,tweet_text,time
Jeremy Visser,@JeremyMVisser,"I love #DeltaAirlines but it's time to retire the MD90 and 88 planes.  Flight from Miami today has water dripping on many seats. No power plugs.  Loud cabin.  Poor Wifi.  Old seats.  Service, however, is great as always.",2020-02-15T19:32:35.000Z
Johnny,@YanniCrisco,Imagine getting so triggered that the person in front of you reclined their seat (that they paid for) that you resulted to petulant antics and then claimed to be the victim.#americanairlines #deltaairlines,2020-02-14T18:26:56.000Z
MD-80.com,@MD80com,"For many years, this was the layout of an #MD88 of #DeltaAirLines with 14 First and 128 Coach (Economy):",2020-02-15T19:56:16.000Z
Michael Negrón,@MichaelNegrn2,Perhaps the airlines CEO should ask customers for permission to compress their body organs for an unreasonably long time. #legroom #RespectCustomers #DeltaAirlines,2020-02-14T21:32:04.000Z
#HIGHESTSHOWONPLANET,@1BLUNTRADIO,TELL YA BOY AT #DELTAAIRLINES I PAID FOR A SEAT THAT RECLINES SO THAT'S WHAT THE HELL IM GONNA DO!! AND LET SOME DICK HEAD DO THAT TO MY SEAT!! IJS MIGHT NOT GO WELL I DON'T HAVE TO ASK TO LEAN BACK #FATJOE DIDN'T ASK TO LEAN BACK LMAO!!!  WHEN YOU RIDE ON A PLANE #LEANBACK,2020-02-14T17:32:03.000Z
Dr. Bob Baron,@TACGAirSafety,Nice. #DeltaAirlines #Delta,2020-02-15T17:58:18.000Z
MarketScreener.com,@Market_Screener,Delta Air Lines : commits $1 billion to become first carbon neutral airline globally #DeltaAirLines #Stock #MarketScreener http://marketscreener.com/DELTA-AIR-LINES-INC-49285/news/Delta-Air-Lines-commits-1-billion-to-become-first-carbon-neutral-airline-globally-29999183/…,2020-02-14T12:05:51.000Z
First Xperiences Aviation & Travel (EPFlight),@Vaughnep4,"(4K) Delta's Brand New ""THANK YOU"" Livery | First Arrival @ MSPAirport |... https://youtu.be/PI3f-lI2Ydo via @YouTube#msp #mspairport #391dn #thankyoulivery #deltaairlines #deltanewlivery #deltathankyoulivery #90000employess #planespotting",2020-02-15T18:56:40.000Z
MD-80.com,@MD80com,#DeltaAirLines #DC9 and tails of 2 #DC8's,2020-02-12T14:23:44.000Z
Keith Koo - 柯凱澤,@SVI_Keith,#Delta airlines #CEO says in an interview that proper seat #etiquette is to always ask the person behind you for permission before #reclining your seat. Discuss! #frequentflier #deltaairlines #airtravel #airrage @InsiderSilicon #SVIN,2020-02-15T01:13:40.000Z
Michael Negrón,@MichaelNegrn2,Perhaps the airlines CEO should ask customers for permission to compress their body organs for an unreasonably long time. #legroom #RespectCustomers #DeltaAirlines,2020-02-14T21:32:04.000Z
Dr. Bob Baron,@TACGAirSafety,Nice. #DeltaAirlines #Delta,2020-02-15T17:58:18.000Z
MarketScreener.com,@Market_Screener,Delta Air Lines : commits $1 billion to become first carbon neutral airline globally #DeltaAirLines #Stock #MarketScreener http://marketscreener.com/DELTA-AIR-LINES-INC-49285/news/Delta-Air-Lines-commits-1-billion-to-become-first-carbon-neutral-airline-globally-29999183/…,2020-02-14T12:05:51.000Z
First Xperiences Aviation & Travel (EPFlight),@Vaughnep4,"(4K) Delta's Brand New ""THANK YOU"" Livery | First Arrival @ MSPAirport |... https://youtu.be/PI3f-lI2Ydo via @YouTube#msp #mspairport #391dn #thankyoulivery #deltaairlines #deltanewlivery #deltathankyoulivery #90000employess #planespotting",2020-02-15T18:56:40.000Z
MD-80.com,@MD80com,#DeltaAirLines #DC9 and tails of 2 #DC8's,2020-02-12T14:23:44.000Z
