username,handle,tweet_text,time
Takekia Harris,@122Chevy,It’s Remy Anniversary #8years #HomeDepot #2718HaperWoods @Shamaymay89 @RVentevogel @Srjohnson614 @XKerrigan @SallyGansior @PorshaS01700851 @steegden2413 @PaulMcCal @Maadd33,2020-02-14T19:32:22.000Z
MaximumShutters.com,@MaximumShutters,#homedepot Coral springs events! @MaximumShutters Hurricane shutters,2020-02-15T17:54:46.000Z
mfortune,@mfortune530,New associates hitting the floor at 8975! Welcome to the team! #bleedorange #homedepot #pacnorthproud,2020-02-12T21:43:20.000Z
Jay Cofresi,@jaycofresi,Ton of fun and learning this morning building our @HomeDepot Kids Workshop project. This was our first and now he his “Fire Rescue Boat” pin. The first of many things we’ll build together! #Team_JjJ #HomeDepot #homedepotkidsworkshop,2020-02-15T19:40:17.000Z
Suzanne Cutway,@scutway,So grateful to work with such an amazing group of people! Go Team Services!!! #SPM2020 #homedepot #homeservices #planningcommittee #90s,2020-02-12T13:36:03.000Z
Takekia Harris,@122Chevy,It’s Remy Anniversary #8years #HomeDepot #2718HaperWoods @Shamaymay89 @RVentevogel @Srjohnson614 @XKerrigan @SallyGansior @PorshaS01700851 @steegden2413 @PaulMcCal @Maadd33,2020-02-14T19:32:22.000Z
MaximumShutters.com,@MaximumShutters,#homedepot Coral springs events! @MaximumShutters Hurricane shutters,2020-02-15T17:54:46.000Z
mfortune,@mfortune530,New associates hitting the floor at 8975! Welcome to the team! #bleedorange #homedepot #pacnorthproud,2020-02-12T21:43:20.000Z
Jay Cofresi,@jaycofresi,Ton of fun and learning this morning building our @HomeDepot Kids Workshop project. This was our first and now he his “Fire Rescue Boat” pin. The first of many things we’ll build together! #Team_JjJ #HomeDepot #homedepotkidsworkshop,2020-02-15T19:40:17.000Z
Suzanne Cutway,@scutway,So grateful to work with such an amazing group of people! Go Team Services!!! #SPM2020 #homedepot #homeservices #planningcommittee #90s,2020-02-12T13:36:03.000Z
mfortune,@mfortune530,New associates hitting the floor at 8975! Welcome to the team! #bleedorange #homedepot #pacnorthproud,2020-02-12T21:43:20.000Z
Jay Cofresi,@jaycofresi,Ton of fun and learning this morning building our @HomeDepot Kids Workshop project. This was our first and now he his “Fire Rescue Boat” pin. The first of many things we’ll build together! #Team_JjJ #HomeDepot #homedepotkidsworkshop,2020-02-15T19:40:17.000Z
Takekia Harris,@122Chevy,It’s Remy Anniversary #8years #HomeDepot #2718HaperWoods @Shamaymay89 @RVentevogel @Srjohnson614 @XKerrigan @SallyGansior @PorshaS01700851 @steegden2413 @PaulMcCal @Maadd33,2020-02-14T19:32:22.000Z
Suzanne Cutway,@scutway,So grateful to work with such an amazing group of people! Go Team Services!!! #SPM2020 #homedepot #homeservices #planningcommittee #90s,2020-02-12T13:36:03.000Z
Katie,@rohrykat,"Happy Valentine’s Day! Bellevue Home Depot crushing it with a potluck, candy grams, and games! Thank you employee fun committee and everyone who participated! #homedepot #bellyeah #voa4711 #celebrate #14Feb @carrasco_pep @mosesunionD19 @4Asds @THD_Irene @Jme_Rankin",2020-02-14T23:05:20.000Z
Katie,@rohrykat,"Happy Valentine’s Day! Bellevue Home Depot crushing it with a potluck, candy grams, and games! Thank you employee fun committee and everyone who participated! #homedepot #bellyeah #voa4711 #celebrate #14Feb @carrasco_pep @mosesunionD19 @4Asds @THD_Irene @Jme_Rankin",2020-02-14T23:05:20.000Z
Kevin Marius,@captenkev,Welcome Dennis and Luke to the #MDOWORLD. We are happy to spend time with you and be part of your training. Love your energy let’s change our customers experience. #HARRISBURGMDO #SupplyChain #homedepot #MDO @jenny_helme @McVeighTHD @5826Mdo @ThdMolly,2020-02-12T21:51:48.000Z
Florsabel De La Rosa,@Florsabel_HD,This bunch was just awesome today!thank you team morrow for participating today & learning about HDIS.the more you know the better equipped you are to help our customers #Homedepot #homeservices #windowknowledge @Carell_R @Frankparas @RichTempelman now go set those appointments,2020-02-11T15:54:13.000Z
