username,handle,tweet_text,time
Cody Alan,@codybaertschi,More from Watertown. #trainspotting #railroad #norfolksouthern #cprr #canadianpacific,2020-02-09T20:55:18.000Z
Train Aficionado,@railaficionado,"Southbound super long mixed freight making its way through Landis, NC.Taken 02/07/2020#trains #railroad #northcarolina #norfolksouthern #locomotive #railfan #sky #railroadcrossing",2020-02-07T19:46:42.000Z
Train Aficionado,@railaficionado,Northbound Norfolk Southern Intermodal rolling through Landis in this cloudy Friday.Taken 02/07/2020#northcarolina #landis #norfolksouthern #railroad #trains #locomotive #friday #watertower #cloudy #smalltown #railfanning #railfan,2020-02-07T19:10:11.000Z
Daryl Kruse,@UPRRGenSub,Progress.  #Modelrailroad #mrhobbyist #atlasrr #athearn #nscalemodeltrains #MODELRAILWAY #Nscale #modelrailroading #modelrailroader #KatoUSAInc #nmraonline #athearntrains #AtlasRR #microscale_decals #scaletrains #norfolksouthern #unionpacific #woodlandscenics #madewithwoodland,2020-02-07T23:52:39.000Z
Train Aficionado,@railaficionado,"Local Norfolk Southern pushing  through Landis with the caboose leading to the old Spencer, NC yard.Taken 02/07/2020#landis #northcarolina #trains #railfan #railfanning #locomotive #norfolksouthern",2020-02-07T19:32:50.000Z
Train Aficionado,@railaficionado,Just rolled out of the Linwood Yard NS135 heading for the S-Line.Taken 02/09/2020#northcarolina #norfolksouthern #railroad #railroadphotography #trainspotting #railroadbridge #trains #interstate #sunset #sundayfunday #sunday #railfanning,2020-02-09T21:58:53.000Z
Dale Burns,@trainshooter,"A westbound Central of Georgia train rolls across the high Hatchet Creek trestle in Goodwater, AL.#goodwater #goodwateral #goodwateralabama #coosacounty #centralofgeorgia #cofg #cofga #norfolksouthern #ns @… https://instagram.com/p/B8gojronjFp/?igshid=vtxn4rtrepll…",2020-02-13T14:10:02.000Z
Michael E. Hoskins,@Trainframephoto,NS train 237 in Feb. of 2014 with a BNSF SD75M leading #norfolksouthern #sd75m #stacktrain #autoracks #bnsf_photos #bnsfrailway @ Duluth Georgia https://instagram.com/p/B8Xrlz1Hm5F/?igshid=1o1vvns6h4t1y…,2020-02-10T02:43:23.000Z
Train Aficionado,@railaficionado,"Southbound super long mixed freight making its way through Landis, NC.Taken 02/07/2020#trains #railroad #northcarolina #norfolksouthern #locomotive #railfan #sky #railroadcrossing",2020-02-07T19:46:42.000Z
Train Aficionado,@railaficionado,Northbound Norfolk Southern Intermodal rolling through Landis in this cloudy Friday.Taken 02/07/2020#northcarolina #landis #norfolksouthern #railroad #trains #locomotive #friday #watertower #cloudy #smalltown #railfanning #railfan,2020-02-07T19:10:11.000Z
Daryl Kruse,@UPRRGenSub,Progress.  #Modelrailroad #mrhobbyist #atlasrr #athearn #nscalemodeltrains #MODELRAILWAY #Nscale #modelrailroading #modelrailroader #KatoUSAInc #nmraonline #athearntrains #AtlasRR #microscale_decals #scaletrains #norfolksouthern #unionpacific #woodlandscenics #madewithwoodland,2020-02-07T23:52:39.000Z
Train Aficionado,@railaficionado,"Local Norfolk Southern pushing  through Landis with the caboose leading to the old Spencer, NC yard.Taken 02/07/2020#landis #northcarolina #trains #railfan #railfanning #locomotive #norfolksouthern",2020-02-07T19:32:50.000Z
